caseNumber,date,url,status,error
"396/1253/20","01.01.2019","https://reyestr.court.gov.ua/Review/100063032","ok",""
"910/7250/18","01.01.2019","https://reyestr.court.gov.ua/Review/100884748","ok",""
"920/15/20","01.01.2019","https://reyestr.court.gov.ua/Review/101027482","ok",""
"757/3303/15","01.01.2019","https://reyestr.court.gov.ua/Review/101240790","ok",""
"729/305/20","01.01.2019","https://reyestr.court.gov.ua/Review/101634614","ok",""
"554/130/18","01.01.2019","https://reyestr.court.gov.ua/Review/104580502","ok",""
"766/16360/20","01.01.2019","https://reyestr.court.gov.ua/Review/104769533","ok",""
"345/3956/18","01.01.2019","https://reyestr.court.gov.ua/Review/106053025","ok",""
"183/3399/15","01.01.2019","https://reyestr.court.gov.ua/Review/106079258","ok",""
"636/3039/19","01.01.2019","https://reyestr.court.gov.ua/Review/106079287","ok",""
"172/236/19","01.01.2019","https://reyestr.court.gov.ua/Review/106404283","ok",""
"756/7279/17","01.01.2019","https://reyestr.court.gov.ua/Review/106426722","ok",""
"314/3592/14","01.01.2019","https://reyestr.court.gov.ua/Review/106426732","ok",""
"760/14008/17","01.01.2019","https://reyestr.court.gov.ua/Review/106454429","ok",""
"183/2033/21","01.01.2019","https://reyestr.court.gov.ua/Review/106517321","ok",""
"461/533/19","01.01.2019","https://reyestr.court.gov.ua/Review/106598674","ok",""
"766/8287/19","01.01.2019","https://reyestr.court.gov.ua/Review/106598761","ok",""
"139/595/19","01.01.2019","https://reyestr.court.gov.ua/Review/106621777","ok",""
"206/4419/17","01.01.2019","https://reyestr.court.gov.ua/Review/107719849","ok",""
"161/8469/21","01.01.2019","https://reyestr.court.gov.ua/Review/109364541","ok",""
"183/2118/22","01.01.2019","https://reyestr.court.gov.ua/Review/109433430","ok",""
"922/1948/22","01.01.2019","https://reyestr.court.gov.ua/Review/112545752","ok",""
"916/628/22","01.01.2019","https://reyestr.court.gov.ua/Review/112634772","ok",""
"570/5161/18","01.01.2019","https://reyestr.court.gov.ua/Review/113065935","ok",""
"931/530/20","01.01.2019","https://reyestr.court.gov.ua/Review/120314078","ok",""
"335/3277/17","01.01.2019","https://reyestr.court.gov.ua/Review/122883410","ok",""
"646/2782/23","01.01.2019","https://reyestr.court.gov.ua/Review/124522332","ok",""
"638/4002/18","01.01.2019","https://reyestr.court.gov.ua/Review/124662872","ok",""
"335/3926/20","01.01.2019","https://reyestr.court.gov.ua/Review/124689409","ok",""
"396/722/18","01.01.2019","https://reyestr.court.gov.ua/Review/125028781","ok",""
"537/765/22","01.01.2019","https://reyestr.court.gov.ua/Review/125028791","ok",""
"466/4940/22","01.01.2019","https://reyestr.court.gov.ua/Review/125162218","ok",""
"451/2004/13","01.01.2019","https://reyestr.court.gov.ua/Review/125228334","ok",""
"755/14759/23","01.01.2019","https://reyestr.court.gov.ua/Review/125397078","ok",""
"332/3757/17","01.01.2019","https://reyestr.court.gov.ua/Review/125503164","ok",""
"640/5458/17","01.01.2019","https://reyestr.court.gov.ua/Review/125711064","ok",""
"953/10671/21","01.01.2019","https://reyestr.court.gov.ua/Review/125933364","ok",""
"442/5716/16","01.01.2019","https://reyestr.court.gov.ua/Review/126610092","ok",""
"686/15714/22","01.01.2019","https://reyestr.court.gov.ua/Review/126803102","ok",""
"713/707/22","01.01.2019","https://reyestr.court.gov.ua/Review/126874107","ok",""
"688/3488/24","01.01.2019","https://reyestr.court.gov.ua/Review/127463949","ok",""
"344/12716/23","01.01.2019","https://reyestr.court.gov.ua/Review/127702547","ok",""
"755/4946/24","01.01.2019","https://reyestr.court.gov.ua/Review/127713033","ok",""
"642/2785/23","01.01.2019","https://reyestr.court.gov.ua/Review/127744389","ok",""
"148/2386/16","01.01.2019","https://reyestr.court.gov.ua/Review/127863684","ok",""
"334/2978/20","01.01.2019","https://reyestr.court.gov.ua/Review/127863835","ok",""
"725/1410/23","01.01.2019","https://reyestr.court.gov.ua/Review/127863849","ok",""
"910/3667/24","01.01.2019","https://reyestr.court.gov.ua/Review/128132887","ok",""
"420/3977/23","01.01.2019","https://reyestr.court.gov.ua/Review/129043697","ok",""
"753/2281/23","01.01.2019","https://reyestr.court.gov.ua/Review/129244767","ok",""
"496/4088/21","01.01.2019","https://reyestr.court.gov.ua/Review/129892710","ok",""
"552/1960/21","01.01.2019","https://reyestr.court.gov.ua/Review/130138605","ok",""
"160/25185/24","01.01.2019","https://reyestr.court.gov.ua/Review/130441308","ok",""
"288/745/21","01.01.2019","https://reyestr.court.gov.ua/Review/131243876","ok",""
"910/3023/24","01.01.2019","https://reyestr.court.gov.ua/Review/132312740","ok",""
"522/24633/23","01.01.2019","https://reyestr.court.gov.ua/Review/133348571","ok",""
"806/986/16","01.01.2019","https://reyestr.court.gov.ua/Review/71911532","ok",""
"506/384/17","01.01.2019","https://reyestr.court.gov.ua/Review/71911537","ok",""
"815/2745/17","01.01.2019","https://reyestr.court.gov.ua/Review/72028890","ok",""
"686/13410/16","01.01.2019","https://reyestr.court.gov.ua/Review/72074133","ok",""
"811/693/17","01.01.2019","https://reyestr.court.gov.ua/Review/72088926","ok",""
"761/18099/15","01.01.2019","https://reyestr.court.gov.ua/Review/72089191","ok",""
"","","https://reyestr.court.gov.ua/Review/72253346","ok",""
"359/7497/16","01.01.2019","https://reyestr.court.gov.ua/Review/72459860","ok",""
"125/703/16","01.01.2019","https://reyestr.court.gov.ua/Review/72460329","ok",""
"208/3075/16","01.03.2018","https://reyestr.court.gov.ua/Review/72489489","ok",""
"127/16614/15","01.01.2019","https://reyestr.court.gov.ua/Review/72489694","ok",""
"520/15749/14","01.01.2019","https://reyestr.court.gov.ua/Review/72489796","ok",""
"910/3855/17","07.03.2018","https://reyestr.court.gov.ua/Review/72616789","ok",""
"647/1683/15","01.01.2019","https://reyestr.court.gov.ua/Review/72641709","ok",""
"464/5571/16","01.01.2019","https://reyestr.court.gov.ua/Review/72694289","ok",""
"802/2196/17","01.01.2019","https://reyestr.court.gov.ua/Review/72694799","ok",""
"816/4195/15","01.01.2019","https://reyestr.court.gov.ua/Review/72807696","ok",""
