caseNumber,date,url,status,error
"675/2136/19","01.01.2019","https://reyestr.court.gov.ua/Review/104539372","ok",""
"922/780/21","01.01.2019","https://reyestr.court.gov.ua/Review/104827584","ok",""
"950/2360/19","01.01.2019","https://reyestr.court.gov.ua/Review/106079289","ok",""
"737/641/17","01.01.2019","https://reyestr.court.gov.ua/Review/106598651","ok",""
"530/136/17","01.01.2019","https://reyestr.court.gov.ua/Review/106758000","ok",""
"127/13109/19","01.01.2019","https://reyestr.court.gov.ua/Review/106915625","ok",""
"750/7850/21","01.01.2019","https://reyestr.court.gov.ua/Review/107490833","ok",""
"543/690/18","01.01.2019","https://reyestr.court.gov.ua/Review/118923696","ok",""
"757/40864/23","01.01.2019","https://reyestr.court.gov.ua/Review/122188196","ok",""
"908/1900/23","08.11.2024","https://reyestr.court.gov.ua/Review/122897874","ok",""
"204/2655/23","01.01.2019","https://reyestr.court.gov.ua/Review/124428654","ok",""
"441/1215/24","01.01.2019","https://reyestr.court.gov.ua/Review/124486971","ok",""
"642/6646/23","01.01.2019","https://reyestr.court.gov.ua/Review/124689436","ok",""
"158/1422/23","01.01.2019","https://reyestr.court.gov.ua/Review/124808999","ok",""
"751/503/22","01.01.2019","https://reyestr.court.gov.ua/Review/124904796","ok",""
"317/345/20","01.01.2019","https://reyestr.court.gov.ua/Review/124968411","ok",""
"757/37763/23","01.01.2019","https://reyestr.court.gov.ua/Review/125063536","ok",""
"595/1754/23","01.01.2019","https://reyestr.court.gov.ua/Review/125876632","ok",""
"585/1973/23","01.01.2019","https://reyestr.court.gov.ua/Review/125933282","ok",""
"521/5786/23","01.01.2019","https://reyestr.court.gov.ua/Review/126211719","ok",""
"761/26204/19","01.01.2019","https://reyestr.court.gov.ua/Review/126767284","ok",""
"201/14/22","01.01.2019","https://reyestr.court.gov.ua/Review/127021035","ok",""
"521/13401/23","01.01.2019","https://reyestr.court.gov.ua/Review/127645887","ok",""
"759/4132/17","01.01.2019","https://reyestr.court.gov.ua/Review/127744486","ok",""
"910/5853/24","01.01.2019","https://reyestr.court.gov.ua/Review/129113456","ok",""
"910/18031/14","01.01.2019","https://reyestr.court.gov.ua/Review/129344774","ok",""
"754/6069/18","01.01.2019","https://reyestr.court.gov.ua/Review/130194185","ok",""
"756/14999/23","01.01.2019","https://reyestr.court.gov.ua/Review/130194200","ok",""
"5021/1493/12","01.01.2019","https://reyestr.court.gov.ua/Review/131390824","ok",""
"916/3668/25","01.01.2019","https://reyestr.court.gov.ua/Review/133348379","ok",""
"686/31401/23","01.01.2019","https://reyestr.court.gov.ua/Review/133348862","ok",""
"907/642/24","01.01.2019","https://reyestr.court.gov.ua/Review/133588633","ok",""
"804/12558/14","01.01.2019","https://reyestr.court.gov.ua/Review/71829364","ok",""
"826/4278/14","01.01.2019","https://reyestr.court.gov.ua/Review/72065372","ok",""
"464/2858/17","01.01.2019","https://reyestr.court.gov.ua/Review/72290060","ok",""
"234/1116/16","01.01.2019","https://reyestr.court.gov.ua/Review/72449555","ok",""
"591/6936/15","01.01.2019","https://reyestr.court.gov.ua/Review/73700635","ok",""
"405/5819/14","01.01.2019","https://reyestr.court.gov.ua/Review/73901520","ok",""
"826/2810/15","01.01.2019","https://reyestr.court.gov.ua/Review/74263938","ok",""
"910/73/17","01.01.2019","https://reyestr.court.gov.ua/Review/74475953","ok",""
"826/20445/16","01.01.2019","https://reyestr.court.gov.ua/Review/74988682","ok",""
"18/1544/10","28.06.2018","https://reyestr.court.gov.ua/Review/75004257","ok",""
"916/2791/16","01.01.2019","https://reyestr.court.gov.ua/Review/75068888","ok",""
"265/3709/17","01.01.2019","https://reyestr.court.gov.ua/Review/75082316","ok",""
"820/1432/17","01.01.2019","https://reyestr.court.gov.ua/Review/75148848","ok",""
"584/1319/16","01.01.2019","https://reyestr.court.gov.ua/Review/75241764","ok",""
"653/1096/16","01.01.2019","https://reyestr.court.gov.ua/Review/75296538","ok",""
"804/2418/16","01.01.2019","https://reyestr.court.gov.ua/Review/75510916","ok",""
"445/765/16","01.01.2019","https://reyestr.court.gov.ua/Review/76027711","ok",""
"817/650/17","01.01.2019","https://reyestr.court.gov.ua/Review/76033528","ok",""
"826/6382/17","01.01.2019","https://reyestr.court.gov.ua/Review/76138593","ok",""
"804/5597/15","01.01.2019","https://reyestr.court.gov.ua/Review/76613853","ok",""
"428/7176/14","01.01.2019","https://reyestr.court.gov.ua/Review/76700849","ok",""
"911/2666/15","01.01.2019","https://reyestr.court.gov.ua/Review/77197566","ok",""
"733/249/16","30.10.2018","https://reyestr.court.gov.ua/Review/77459293","ok",""
"826/11920/15","01.01.2019","https://reyestr.court.gov.ua/Review/77537622","ok",""
"0640/3835/18","01.01.2019","https://reyestr.court.gov.ua/Review/77586339","ok",""
