caseNumber,date,url,status,error
"814/994/17","01.01.2019","https://reyestr.court.gov.ua/Review/100010742","ok",""
"826/9849/16","01.01.2019","https://reyestr.court.gov.ua/Review/100010828","ok",""
"802/1153/17","01.01.2019","https://reyestr.court.gov.ua/Review/100010968","ok",""
"876/26/21","01.10.2021","https://reyestr.court.gov.ua/Review/100033969","ok",""
"750/9743/17","01.01.2019","https://reyestr.court.gov.ua/Review/100049797","ok",""
"300/703/20","01.01.2019","https://reyestr.court.gov.ua/Review/100049968","ok",""
"300/860/17","01.01.2019","https://reyestr.court.gov.ua/Review/100050070","ok",""
"640/6470/19","01.01.2019","https://reyestr.court.gov.ua/Review/100057823","ok",""
"","","https://reyestr.court.gov.ua/Review/100063308","ok",""
"466/5842/20","01.01.2019","https://reyestr.court.gov.ua/Review/100063329","ok",""
"873/96/21","04.10.2021","https://reyestr.court.gov.ua/Review/100067951","ok",""
"804/3519/17","01.01.2019","https://reyestr.court.gov.ua/Review/100079257","ok",""
"342/1560/20","01.01.2019","https://reyestr.court.gov.ua/Review/100109239","ok",""
"409/1465/16","01.01.2019","https://reyestr.court.gov.ua/Review/100109314","ok",""
"","","https://reyestr.court.gov.ua/Review/100109379","ok",""
"556/450/18","01.01.2019","https://reyestr.court.gov.ua/Review/100109396","ok",""
"808/775/17","01.01.2019","https://reyestr.court.gov.ua/Review/100123961","ok",""
"160/10494/19","01.01.2019","https://reyestr.court.gov.ua/Review/100155683","ok",""
"464/148/15","01.01.2019","https://reyestr.court.gov.ua/Review/100155719","ok",""
"9901/20538/19","01.01.2019","https://reyestr.court.gov.ua/Review/100155759","ok",""
"750/2431/17","01.01.2019","https://reyestr.court.gov.ua/Review/100155823","ok",""
"480/159/20","01.01.2019","https://reyestr.court.gov.ua/Review/100189538","ok",""
"640/6170/20","01.01.2019","https://reyestr.court.gov.ua/Review/100189555","ok",""
"639/714/17","01.01.2019","https://reyestr.court.gov.ua/Review/100189769","ok",""
"904/4928/17","08.10.2021","https://reyestr.court.gov.ua/Review/100214088","ok",""
"937/10313/19","01.01.2019","https://reyestr.court.gov.ua/Review/100240499","ok",""
"607/12643/17","01.01.2019","https://reyestr.court.gov.ua/Review/100285384","ok",""
"296/5885/17","01.01.2019","https://reyestr.court.gov.ua/Review/100285411","ok",""
"715/2106/20","01.01.2019","https://reyestr.court.gov.ua/Review/100292332","ok",""
"185/7793/20","01.01.2019","https://reyestr.court.gov.ua/Review/100292419","ok",""
"","","https://reyestr.court.gov.ua/Review/100305932","ok",""
"320/5503/19","01.01.2019","https://reyestr.court.gov.ua/Review/100439863","ok",""
"160/16289/20","01.01.2019","https://reyestr.court.gov.ua/Review/100440011","ok",""
"160/9107/18","01.01.2019","https://reyestr.court.gov.ua/Review/100440074","ok",""
"552/2540/20","01.01.2019","https://reyestr.court.gov.ua/Review/100457470","ok",""
"815/2682/17","01.01.2019","https://reyestr.court.gov.ua/Review/100470596","ok",""
"580/3202/19","01.01.2019","https://reyestr.court.gov.ua/Review/100470631","ok",""
"560/3559/19","01.01.2019","https://reyestr.court.gov.ua/Review/100470632","ok",""
"560/1704/19","01.01.2019","https://reyestr.court.gov.ua/Review/100470640","ok",""
"353/265/17","01.01.2019","https://reyestr.court.gov.ua/Review/100470718","ok",""
"808/1028/17","01.01.2019","https://reyestr.court.gov.ua/Review/100470814","ok",""
"826/10210/16","01.01.2019","https://reyestr.court.gov.ua/Review/100470873","ok",""
"487/1362/17","01.01.2019","https://reyestr.court.gov.ua/Review/100470976","ok",""
"620/2936/20","01.01.2019","https://reyestr.court.gov.ua/Review/100471018","ok",""
"826/4727/17","01.01.2019","https://reyestr.court.gov.ua/Review/100471079","ok",""
"280/2412/19","01.01.2019","https://reyestr.court.gov.ua/Review/100471126","ok",""
"200/613/19","01.01.2019","https://reyestr.court.gov.ua/Review/100512401","ok",""
"160/7772/18","01.01.2019","https://reyestr.court.gov.ua/Review/100512403","ok",""
"808/2408/16","01.01.2019","https://reyestr.court.gov.ua/Review/100512471","ok",""
"420/4480/19","01.01.2019","https://reyestr.court.gov.ua/Review/100512536","ok",""
"440/752/19","01.01.2019","https://reyestr.court.gov.ua/Review/100512556","ok",""
"9901/33490/19","01.01.2019","https://reyestr.court.gov.ua/Review/100512559","ok",""
"826/16785/18","01.01.2019","https://reyestr.court.gov.ua/Review/100512563","ok",""
"347/840/19","01.01.2019","https://reyestr.court.gov.ua/Review/100544954","ok",""
"757/27669/21","01.01.2019","https://reyestr.court.gov.ua/Review/100579430","ok",""
"458/36/17","01.01.2019","https://reyestr.court.gov.ua/Review/100593105","ok",""
"554/4736/17","01.01.2019","https://reyestr.court.gov.ua/Review/100593107","ok",""
"0440/6742/18","01.01.2019","https://reyestr.court.gov.ua/Review/100593163","ok",""
"802/2080/16","01.01.2019","https://reyestr.court.gov.ua/Review/100593187","ok",""
"826/15714/17","01.01.2019","https://reyestr.court.gov.ua/Review/100593215","ok",""
"127/18010/17","27.10.2021","https://reyestr.court.gov.ua/Review/100614138","ok",""
"826/12131/17","01.01.2019","https://reyestr.court.gov.ua/Review/100623332","ok",""
