caseNumber,date,url,status,error
"227/3750/19","01.01.2019","https://reyestr.court.gov.ua/Review/100063130","ok",""
"464/566/19","01.01.2019","https://reyestr.court.gov.ua/Review/100063131","ok",""
"810/2406/18","01.01.2019","https://reyestr.court.gov.ua/Review/100079272","ok",""
"522/9011/19","01.01.2019","https://reyestr.court.gov.ua/Review/100179010","ok",""
"753/11869/18","01.01.2019","https://reyestr.court.gov.ua/Review/100734783","ok",""
"552/4892/19","01.01.2019","https://reyestr.court.gov.ua/Review/100816970","ok",""
"812/1743/17","01.01.2019","https://reyestr.court.gov.ua/Review/100823910","ok",""
"817/1911/17","01.01.2019","https://reyestr.court.gov.ua/Review/100856573","ok",""
"691/1237/20","01.01.2019","https://reyestr.court.gov.ua/Review/100884870","ok",""
"303/2113/19","01.01.2019","https://reyestr.court.gov.ua/Review/101179692","ok",""
"643/4873/20","01.01.2019","https://reyestr.court.gov.ua/Review/101211306","ok",""
"360/3611/20","01.01.2019","https://reyestr.court.gov.ua/Review/101211541","ok",""
"755/8776/18","01.01.2019","https://reyestr.court.gov.ua/Review/101240485","ok",""
"817/1780/17","01.01.2019","https://reyestr.court.gov.ua/Review/101404379","ok",""
"418/3478/19","01.01.2019","https://reyestr.court.gov.ua/Review/101519529","ok",""
"0940/2301/18","01.01.2019","https://reyestr.court.gov.ua/Review/101897039","ok",""
"645/7452/19","01.01.2019","https://reyestr.court.gov.ua/Review/102149427","ok",""
"440/7341/20","01.01.2019","https://reyestr.court.gov.ua/Review/102170920","ok",""
"580/5962/20","01.01.2019","https://reyestr.court.gov.ua/Review/102170925","ok",""
"826/13522/17","01.01.2019","https://reyestr.court.gov.ua/Review/102220951","ok",""
"160/11673/20","01.01.2019","https://reyestr.court.gov.ua/Review/103034921","ok",""
"826/7203/17","01.01.2019","https://reyestr.court.gov.ua/Review/103282093","ok",""
"908/2037/20","01.01.2019","https://reyestr.court.gov.ua/Review/103320420","ok",""
"910/33/21","01.01.2019","https://reyestr.court.gov.ua/Review/103371265","ok",""
"910/17344/20","01.01.2019","https://reyestr.court.gov.ua/Review/103487033","ok",""
"916/2825/20","23.02.2022","https://reyestr.court.gov.ua/Review/103524998","ok",""
"915/1565/20","01.01.2019","https://reyestr.court.gov.ua/Review/103525065","ok",""
"816/687/16","01.01.2019","https://reyestr.court.gov.ua/Review/104044775","ok",""
"400/3455/19","01.01.2019","https://reyestr.court.gov.ua/Review/104178026","ok",""
"260/1188/18","01.01.2019","https://reyestr.court.gov.ua/Review/104212897","ok",""
"010/14/03","17.05.2022","https://reyestr.court.gov.ua/Review/104329965","ok",""
"520/592/21","01.01.2019","https://reyestr.court.gov.ua/Review/104340893","ok",""
"154/3345/16","01.01.2019","https://reyestr.court.gov.ua/Review/104361505","ok",""
"9901/15224/20","01.01.2019","https://reyestr.court.gov.ua/Review/104400856","ok",""
"760/2704/19","01.01.2019","https://reyestr.court.gov.ua/Review/104414890","ok",""
"280/928/20","01.01.2019","https://reyestr.court.gov.ua/Review/104443334","ok",""
"138/1735/20","01.01.2019","https://reyestr.court.gov.ua/Review/104443477","ok",""
"120/4886/18","01.01.2019","https://reyestr.court.gov.ua/Review/104677357","ok",""
"913/618/21","01.01.2019","https://reyestr.court.gov.ua/Review/104688879","ok",""
"300/1617/20","01.01.2019","https://reyestr.court.gov.ua/Review/104694594","ok",""
"818/295/17","01.01.2019","https://reyestr.court.gov.ua/Review/104718848","ok",""
"810/3116/18","01.01.2019","https://reyestr.court.gov.ua/Review/104759436","ok",""
"260/3859/20","01.01.2019","https://reyestr.court.gov.ua/Review/104778702","ok",""
"810/2192/16","01.01.2019","https://reyestr.court.gov.ua/Review/104778770","ok",""
"922/780/21","01.01.2019","https://reyestr.court.gov.ua/Review/104827584","ok",""
"826/15940/18","01.01.2019","https://reyestr.court.gov.ua/Review/104952027","ok",""
"916/697/21","01.01.2019","https://reyestr.court.gov.ua/Review/105034145","ok",""
"280/1736/19","01.01.2019","https://reyestr.court.gov.ua/Review/105138931","ok",""
"826/24241/15","01.01.2019","https://reyestr.court.gov.ua/Review/105314626","ok",""
"903/261/21","01.01.2019","https://reyestr.court.gov.ua/Review/105347455","ok",""
"922/3308/20","01.01.2019","https://reyestr.court.gov.ua/Review/105371704","ok",""
"640/24070/19","01.01.2019","https://reyestr.court.gov.ua/Review/105423159","ok",""
"520/15348/2020","01.01.2019","https://reyestr.court.gov.ua/Review/105444235","ok",""
"808/1699/17","01.01.2019","https://reyestr.court.gov.ua/Review/105444301","ok",""
"815/2656/17","01.01.2019","https://reyestr.court.gov.ua/Review/105465868","ok",""
"910/4445/21","01.01.2019","https://reyestr.court.gov.ua/Review/105636953","ok",""
"925/2073/13","01.01.2019","https://reyestr.court.gov.ua/Review/105667429","ok",""
"816/1054/18","01.01.2019","https://reyestr.court.gov.ua/Review/105667688","ok",""
"260/259/20","01.01.2019","https://reyestr.court.gov.ua/Review/105667724","ok",""
"910/16784/20","01.01.2019","https://reyestr.court.gov.ua/Review/105693209","ok",""
"460/8509/21","01.01.2019","https://reyestr.court.gov.ua/Review/105693419","ok",""
"911/2401/21","01.01.2019","https://reyestr.court.gov.ua/Review/105767610","ok",""
"908/2287/17","01.01.2019","https://reyestr.court.gov.ua/Review/105837295","ok",""
"826/16473/15","01.01.2019","https://reyestr.court.gov.ua/Review/105973567","ok",""
"904/1427/21","01.01.2019","https://reyestr.court.gov.ua/Review/106079070","ok",""
"802/18/18","01.01.2019","https://reyestr.court.gov.ua/Review/106264210","ok",""
"924/57/19","01.01.2019","https://reyestr.court.gov.ua/Review/106506730","ok",""
"380/7694/20","01.01.2019","https://reyestr.court.gov.ua/Review/106515961","ok",""
"385/321/20","01.01.2019","https://reyestr.court.gov.ua/Review/106533153","ok",""
"711/4490/20","01.01.2019","https://reyestr.court.gov.ua/Review/106558617","ok",""
"552/1982/16","01.01.2019","https://reyestr.court.gov.ua/Review/106840513","ok",""
"922/2201/21","01.01.2019","https://reyestr.court.gov.ua/Review/106867459","ok",""
"600/2658/20","01.01.2019","https://reyestr.court.gov.ua/Review/106867726","ok",""
"640/18646/21","01.01.2019","https://reyestr.court.gov.ua/Review/107036390","ok",""
"905/857/19","01.01.2019","https://reyestr.court.gov.ua/Review/107219912","ok",""
"910/14224/20","01.01.2019","https://reyestr.court.gov.ua/Review/107476264","ok",""
"903/682/21","01.01.2019","https://reyestr.court.gov.ua/Review/107490744","ok",""
"240/401/19","01.01.2019","https://reyestr.court.gov.ua/Review/107599033","ok",""
"905/458/21","01.01.2019","https://reyestr.court.gov.ua/Review/107802762","ok",""
"140/2217/19","01.01.2019","https://reyestr.court.gov.ua/Review/107984435","ok",""
"160/14976/21","01.01.2019","https://reyestr.court.gov.ua/Review/108025614","ok",""
"805/1312/16","01.01.2019","https://reyestr.court.gov.ua/Review/108025724","ok",""
"908/1525/16","01.01.2019","https://reyestr.court.gov.ua/Review/108226058","ok",""
"0940/1338/18","01.01.2019","https://reyestr.court.gov.ua/Review/108259886","ok",""
"910/2116/21","01.01.2019","https://reyestr.court.gov.ua/Review/108360142","ok",""
"910/3334/22","01.01.2019","https://reyestr.court.gov.ua/Review/108456008","ok",""
"905/1870/20","01.01.2019","https://reyestr.court.gov.ua/Review/108515709","ok",""
"924/88/22","01.01.2019","https://reyestr.court.gov.ua/Review/108516400","ok",""
"918/531/22","01.01.2019","https://reyestr.court.gov.ua/Review/108526220","ok",""
"757/40264/15","01.01.2019","https://reyestr.court.gov.ua/Review/108553648","ok",""
"903/1040/21","01.01.2019","https://reyestr.court.gov.ua/Review/108581413","ok",""
"915/1422/21","01.01.2019","https://reyestr.court.gov.ua/Review/108603640","ok",""
"140/1167/22","01.01.2019","https://reyestr.court.gov.ua/Review/108611601","ok",""
"420/5597/19","01.01.2019","https://reyestr.court.gov.ua/Review/108612325","ok",""
"140/318/21","01.01.2019","https://reyestr.court.gov.ua/Review/108696620","ok",""
"640/8728/21","01.01.2019","https://reyestr.court.gov.ua/Review/108724469","ok",""
"910/9525/19","01.01.2019","https://reyestr.court.gov.ua/Review/108790039","ok",""
"910/2089/20","01.01.2019","https://reyestr.court.gov.ua/Review/108790077","ok",""
"591/2823/19","01.01.2019","https://reyestr.court.gov.ua/Review/108849815","ok",""
"910/18749/20","01.01.2019","https://reyestr.court.gov.ua/Review/108903072","ok",""
"910/5028/21","01.01.2019","https://reyestr.court.gov.ua/Review/108927598","ok",""
"570/816/21","01.01.2019","https://reyestr.court.gov.ua/Review/108930531","ok",""
"","01.01.2019","https://reyestr.court.gov.ua/Review/108930726","ok",""
"712/5194/20","01.01.2019","https://reyestr.court.gov.ua/Review/108930806","ok",""
"201/2609/20","01.01.2019","https://reyestr.court.gov.ua/Review/108930823","ok",""
"135/1003/19","01.01.2019","https://reyestr.court.gov.ua/Review/108930824","ok",""
"760/9496/21","01.01.2019","https://reyestr.court.gov.ua/Review/108959770","ok",""
"735/1121/20","01.01.2019","https://reyestr.court.gov.ua/Review/108960086","ok",""
"204/435/21","01.01.2019","https://reyestr.court.gov.ua/Review/109019024","ok",""
"910/9374/21","01.01.2019","https://reyestr.court.gov.ua/Review/109046069","ok",""
"910/14588/21","01.01.2019","https://reyestr.court.gov.ua/Review/109046102","ok",""
"922/672/21","01.01.2019","https://reyestr.court.gov.ua/Review/109046104","ok",""
"522/22094/14","01.01.2019","https://reyestr.court.gov.ua/Review/109046291","ok",""
"372/1652/18","01.01.2019","https://reyestr.court.gov.ua/Review/109046335","ok",""
"910/8343/21","01.01.2019","https://reyestr.court.gov.ua/Review/109072242","ok",""
"932/8842/20","01.01.2019","https://reyestr.court.gov.ua/Review/109075145","ok",""
"354/1129/20","01.01.2019","https://reyestr.court.gov.ua/Review/109075158","ok",""
"405/680/22","01.01.2019","https://reyestr.court.gov.ua/Review/109075175","ok",""
"130/3548/21","01.01.2019","https://reyestr.court.gov.ua/Review/109075195","ok",""
"907/742/16","01.01.2019","https://reyestr.court.gov.ua/Review/109129306","ok",""
"910/20106/20","01.01.2019","https://reyestr.court.gov.ua/Review/109129351","ok",""
"285/2941/20","01.01.2019","https://reyestr.court.gov.ua/Review/109132515","ok",""
"278/1904/17","01.01.2019","https://reyestr.court.gov.ua/Review/109157234","ok",""
"911/3025/21","01.01.2019","https://reyestr.court.gov.ua/Review/109175813","ok",""
"910/23042/16","27.02.2023","https://reyestr.court.gov.ua/Review/109209968","ok",""
"760/14696/15","01.01.2019","https://reyestr.court.gov.ua/Review/109211505","ok",""
"908/2182/21","01.01.2019","https://reyestr.court.gov.ua/Review/109239581","ok",""
"640/17091/21","01.01.2019","https://reyestr.court.gov.ua/Review/109260787","ok",""
"748/479/20","01.01.2019","https://reyestr.court.gov.ua/Review/109273636","ok",""
"143/1356/21","01.01.2019","https://reyestr.court.gov.ua/Review/109303057","ok",""
"320/10856/18","01.01.2019","https://reyestr.court.gov.ua/Review/109303063","ok",""
"953/9892/21","01.01.2019","https://reyestr.court.gov.ua/Review/109303238","ok",""
"640/9004/20","01.01.2019","https://reyestr.court.gov.ua/Review/109311649","ok",""
"296/1389/21","01.01.2019","https://reyestr.court.gov.ua/Review/109345621","ok",""
"947/5562/21","01.01.2019","https://reyestr.court.gov.ua/Review/109364530","ok",""
"628/1284/20","01.01.2019","https://reyestr.court.gov.ua/Review/109395377","ok",""
"525/1207/20","01.01.2019","https://reyestr.court.gov.ua/Review/109395430","ok",""
"200/9992/16","01.01.2019","https://reyestr.court.gov.ua/Review/109433405","ok",""
"477/378/22","01.01.2019","https://reyestr.court.gov.ua/Review/109433432","ok",""
"426/1211/17","01.01.2019","https://reyestr.court.gov.ua/Review/109433441","ok",""
"910/1442/22","01.01.2019","https://reyestr.court.gov.ua/Review/109440766","ok",""
"305/1573/16","01.01.2019","https://reyestr.court.gov.ua/Review/109446137","ok",""
"570/32/18","01.01.2019","https://reyestr.court.gov.ua/Review/109446143","ok",""
"826/13458/17","01.01.2019","https://reyestr.court.gov.ua/Review/109476489","ok",""
"","01.01.2019","https://reyestr.court.gov.ua/Review/109479803","ok",""
"161/18237/18","01.01.2019","https://reyestr.court.gov.ua/Review/109479894","ok",""
"824/80/22","01.01.2019","https://reyestr.court.gov.ua/Review/109491735","ok",""
"380/13534/21","01.01.2019","https://reyestr.court.gov.ua/Review/109503593","ok",""
"260/192/21","01.01.2019","https://reyestr.court.gov.ua/Review/109503663","ok",""
"440/2582/20","01.01.2019","https://reyestr.court.gov.ua/Review/109503872","ok",""
"380/15276/21","01.01.2019","https://reyestr.court.gov.ua/Review/109541727","ok",""
"559/1923/17","01.01.2019","https://reyestr.court.gov.ua/Review/109547237","ok",""
"127/13995/21","01.01.2019","https://reyestr.court.gov.ua/Review/109547239","ok",""
"1309/9120/12","01.01.2019","https://reyestr.court.gov.ua/Review/109547255","ok",""
"640/22164/19","01.01.2019","https://reyestr.court.gov.ua/Review/109573298","ok",""
"201/2288/20","01.01.2019","https://reyestr.court.gov.ua/Review/109592622","ok",""
