caseNumber,date,url,status,error
"818/1365/17","01.01.2019","https://reyestr.court.gov.ua/Review/100823922","ok",""
"910/7250/18","01.01.2019","https://reyestr.court.gov.ua/Review/100884748","ok",""
"904/4137/20","01.01.2019","https://reyestr.court.gov.ua/Review/101064130","ok",""
"916/1988/20","18.11.2021","https://reyestr.court.gov.ua/Review/101179535","ok",""
"910/15737/20","01.01.2019","https://reyestr.court.gov.ua/Review/102736044","ok",""
"907/227/19","01.01.2019","https://reyestr.court.gov.ua/Review/102999169","ok",""
"920/847/18","01.01.2019","https://reyestr.court.gov.ua/Review/103281716","ok",""
"910/15316/21","01.01.2019","https://reyestr.court.gov.ua/Review/104122543","ok",""
"120/1196/19","01.01.2019","https://reyestr.court.gov.ua/Review/104466891","ok",""
"910/19980/20","01.01.2019","https://reyestr.court.gov.ua/Review/104644465","ok",""
"910/12556/20","01.01.2019","https://reyestr.court.gov.ua/Review/104827528","ok",""
"420/6999/21","01.01.2019","https://reyestr.court.gov.ua/Review/105330650","ok",""
"496/3134/19","01.01.2019","https://reyestr.court.gov.ua/Review/105423479","ok",""
"924/1099/20","01.01.2019","https://reyestr.court.gov.ua/Review/105494366","ok",""
"916/3317/21","01.01.2019","https://reyestr.court.gov.ua/Review/106051433","ok",""
"910/18639/21","01.01.2019","https://reyestr.court.gov.ua/Review/106976099","ok",""
"918/569/20","01.01.2019","https://reyestr.court.gov.ua/Review/108086442","ok",""
"280/1257/20","01.01.2019","https://reyestr.court.gov.ua/Review/108260033","ok",""
"905/1977/21","01.01.2019","https://reyestr.court.gov.ua/Review/108422549","ok",""
"280/2932/20","01.01.2019","https://reyestr.court.gov.ua/Review/109286228","ok",""
"380/14933/22","01.01.2019","https://reyestr.court.gov.ua/Review/110187784","ok",""
"910/21935/21","01.01.2019","https://reyestr.court.gov.ua/Review/110427715","ok",""
"904/4736/21","01.01.2019","https://reyestr.court.gov.ua/Review/110515040","ok",""
"910/13813/21","01.01.2019","https://reyestr.court.gov.ua/Review/111159719","ok",""
"380/7230/20","01.01.2019","https://reyestr.court.gov.ua/Review/111415042","ok",""
"464/1961/20","01.01.2019","https://reyestr.court.gov.ua/Review/111585900","ok",""
"278/2715/15","01.01.2019","https://reyestr.court.gov.ua/Review/111804569","ok",""
"306/1119/21","01.01.2019","https://reyestr.court.gov.ua/Review/111836261","ok",""
"913/110/21","01.01.2019","https://reyestr.court.gov.ua/Review/112087700","ok",""
"911/1796/20","20.07.2023","https://reyestr.court.gov.ua/Review/112312507","ok",""
"916/3958/21","01.01.2019","https://reyestr.court.gov.ua/Review/112459047","ok",""
"620/289/21","01.01.2019","https://reyestr.court.gov.ua/Review/112729599","ok",""
"916/1220/23","01.01.2019","https://reyestr.court.gov.ua/Review/113203843","ok",""
"908/3413/21","01.01.2019","https://reyestr.court.gov.ua/Review/113426883","ok",""
"757/42192/20","01.01.2019","https://reyestr.court.gov.ua/Review/113690425","ok",""
"910/10681/22","29.09.2023","https://reyestr.court.gov.ua/Review/113815753","ok",""
"686/7081/21","01.01.2019","https://reyestr.court.gov.ua/Review/114685579","ok",""
"344/11960/22","01.01.2019","https://reyestr.court.gov.ua/Review/114848874","ok",""
"910/2116/21","19.12.2023","https://reyestr.court.gov.ua/Review/115746175","ok",""
"916/1629/22","01.01.2019","https://reyestr.court.gov.ua/Review/115820761","ok",""
"759/12172/22","01.01.2019","https://reyestr.court.gov.ua/Review/115822113","ok",""
"420/18572/22","01.01.2019","https://reyestr.court.gov.ua/Review/116336409","ok",""
"910/17785/20","01.01.2019","https://reyestr.court.gov.ua/Review/116416204","ok",""
"910/16341/21","01.01.2019","https://reyestr.court.gov.ua/Review/116425105","ok",""
"677/450/18","01.01.2019","https://reyestr.court.gov.ua/Review/116670768","ok",""
"487/4463/17","01.01.2019","https://reyestr.court.gov.ua/Review/116704928","ok",""
"752/12651/16","01.01.2019","https://reyestr.court.gov.ua/Review/116768093","ok",""
"916/192/22","01.01.2019","https://reyestr.court.gov.ua/Review/116919735","ok",""
"757/37897/22","01.01.2019","https://reyestr.court.gov.ua/Review/117105871","ok",""
"910/15777/21","01.01.2019","https://reyestr.court.gov.ua/Review/117176644","ok",""
"210/3326/18","01.01.2019","https://reyestr.court.gov.ua/Review/117309986","ok",""
"688/3517/16","01.01.2019","https://reyestr.court.gov.ua/Review/117340518","ok",""
"522/12598/22","01.01.2019","https://reyestr.court.gov.ua/Review/118136928","ok",""
"907/568/22","01.01.2019","https://reyestr.court.gov.ua/Review/118294356","ok",""
"756/16117/21","01.01.2019","https://reyestr.court.gov.ua/Review/118356411","ok",""
"507/957/19","01.01.2019","https://reyestr.court.gov.ua/Review/118393631","ok",""
"359/7790/20","01.01.2019","https://reyestr.court.gov.ua/Review/118788420","ok",""
"201/2197/23","01.01.2019","https://reyestr.court.gov.ua/Review/118820299","ok",""
"731/242/18","01.01.2019","https://reyestr.court.gov.ua/Review/119212874","ok",""
"496/5125/15","01.01.2019","https://reyestr.court.gov.ua/Review/119212884","ok",""
"686/8627/22","01.01.2019","https://reyestr.court.gov.ua/Review/119309289","ok",""
"305/374/21","01.01.2019","https://reyestr.court.gov.ua/Review/119331837","ok",""
"460/2790/18","01.01.2019","https://reyestr.court.gov.ua/Review/119566256","ok",""
"918/907/22","01.01.2019","https://reyestr.court.gov.ua/Review/119618089","ok",""
"908/2005/23","01.01.2019","https://reyestr.court.gov.ua/Review/119741054","ok",""
"740/1179/19","01.01.2019","https://reyestr.court.gov.ua/Review/119741391","ok",""
"910/290/24","01.01.2019","https://reyestr.court.gov.ua/Review/120111577","ok",""
"921/403/22","01.01.2019","https://reyestr.court.gov.ua/Review/120770513","ok",""
"904/2768/23","01.01.2019","https://reyestr.court.gov.ua/Review/120828703","ok",""
"303/3590/20","01.01.2019","https://reyestr.court.gov.ua/Review/121472493","ok",""
"991/2197/22","01.01.2019","https://reyestr.court.gov.ua/Review/121546285","ok",""
"761/27823/14","01.01.2019","https://reyestr.court.gov.ua/Review/122000050","ok",""
"127/13972/17","01.01.2019","https://reyestr.court.gov.ua/Review/122000053","ok",""
"991/6712/20","01.01.2019","https://reyestr.court.gov.ua/Review/122153737","ok",""
"278/1566/21","01.01.2019","https://reyestr.court.gov.ua/Review/122302589","ok",""
"755/6898/21","01.01.2019","https://reyestr.court.gov.ua/Review/122302600","ok",""
"303/1425/18","01.01.2019","https://reyestr.court.gov.ua/Review/122333175","ok",""
"404/8115/20","01.01.2019","https://reyestr.court.gov.ua/Review/122333177","ok",""
"748/1359/19","01.01.2019","https://reyestr.court.gov.ua/Review/122384635","ok",""
"201/9127/21","01.01.2019","https://reyestr.court.gov.ua/Review/122434169","ok",""
"344/2364/19","01.01.2019","https://reyestr.court.gov.ua/Review/122603332","ok",""
"440/6856/22","01.01.2019","https://reyestr.court.gov.ua/Review/123601658","ok",""
"676/6929/17","01.01.2019","https://reyestr.court.gov.ua/Review/123678721","ok",""
"240/19209/21","01.01.2019","https://reyestr.court.gov.ua/Review/123697450","ok",""
"520/5695/23","01.01.2019","https://reyestr.court.gov.ua/Review/123697471","ok",""
"240/1121/24","01.01.2019","https://reyestr.court.gov.ua/Review/123697656","ok",""
"757/38626/17","01.01.2019","https://reyestr.court.gov.ua/Review/123841690","ok",""
"910/1384/24","01.01.2019","https://reyestr.court.gov.ua/Review/123928354","ok",""
"400/1117/19","01.01.2019","https://reyestr.court.gov.ua/Review/123946114","ok",""
"296/2149/19","01.01.2019","https://reyestr.court.gov.ua/Review/124303047","ok",""
"362/643/21","01.01.2019","https://reyestr.court.gov.ua/Review/124409188","ok",""
"463/3646/23","01.01.2019","https://reyestr.court.gov.ua/Review/124409892","ok",""
"753/16269/23","01.01.2019","https://reyestr.court.gov.ua/Review/124428319","ok",""
"161/8760/22","01.01.2019","https://reyestr.court.gov.ua/Review/124428641","ok",""
"534/1241/22","01.01.2019","https://reyestr.court.gov.ua/Review/124428672","ok",""
"910/15094/23","01.01.2019","https://reyestr.court.gov.ua/Review/124459340","ok",""
"903/497/24","01.01.2019","https://reyestr.court.gov.ua/Review/124484775","ok",""
"293/1491/23","01.01.2019","https://reyestr.court.gov.ua/Review/124521182","ok",""
